source_io_code,source_io_name,target_io_code,target_io_name,value
0111,벼,3799,기타 전기장비,0.0005053236928304033
0111,벼,3810,내연기관 및 터빈,0.0006285508989328003
0111,벼,3820,펌프 및 압축기,0.0008414336284904908
0111,벼,3831,밸브,0.0005739943324046397
0111,벼,3832,"베어링, 기어 및 동력전달장치",0.0005027843934312688
0111,벼,3840,산업용 운반기계,0.0007009337278797877
0111,벼,3851,공기조절장치 및 냉장냉동 장비,0.0006430466544472188
0111,벼,3852,공기 및 액체 여과기,0.0006814663859115709
0111,벼,3891,사무용기기,0.0007532984560873782
0111,벼,3899,기타 일반목적용 기계,0.0006042832600987437
0111,벼,3911,농업용 기계,0.0007301140034308551
0111,벼,3912,건설 및 광물처리기계,0.0005863962928331326
0111,벼,3920,금속가공용 기계,0.0006525875965717279
0111,벼,3930,금형 및 주형,0.0006572675395749553
0111,벼,3941,반도체 제조용 기계,0.0004454976696492414
0111,벼,3942,디스플레이 제조용 기계,0.0006780968989951951
0111,벼,3991,음식료품 가공기계,0.0007846536270489656
0111,벼,3992,섬유 및 의복가공 기계,0.0008010099076499502
0111,벼,3993,산업용 로봇,0.0005539477198419479
0111,벼,3994,제지 및 인쇄기계,0.0005612060448108918
0111,벼,3995,고무 및 플라스틱 성형기계,0.000568870411081447
0111,벼,3999,기타 특수목적용기계,0.0005997300640974596
0111,벼,4011,승용차,0.0005557668424272879
0111,벼,4012,전기승용차,0.0005122771859851702
0111,벼,4013,버스,0.0005700803090538631
0111,벼,4014,트럭,0.000568735690802924
0111,벼,4021,특장차,0.0005510195243986224
0111,벼,4022,트레일러 및 컨테이너,0.0005864501453082614
0111,벼,4031,자동차용 엔진,0.0008470019782564183
0111,벼,4032,자동차 부분품,0.0006269573836745034
0111,벼,4101,강철제 선박,0.0006168531973284932
0111,벼,4102,기타 선박,0.0009512137087147243
0111,벼,4103,선박 수리 및 부분품,0.000707013129621182
0111,벼,4210,철도차량,0.0004946373838637365
0111,벼,4220,항공기,0.0002971546917280907
0111,벼,4291,모터사이클,0.0006548501727644799
0111,벼,4299,기타 운수장비,0.0006832276394409159
0111,벼,4311,목재 가구,0.0007283755476838992
0111,벼,4312,금속 가구,0.0008226384879541681
0111,벼,4319,기타 가구,0.0005760141169072444
0111,벼,4391,장난감 및 오락용품,0.0008143341007772815
0111,벼,4392,운동 및 경기용품,0.0006987456180887283
0111,벼,4393,악기,0.0005980512669373877
0111,벼,4394,문구용품,0.0004896374101733792
0111,벼,4395,귀금속 및 보석,0.0005779208994232391
0111,벼,4396,모형 및 장식용품,0.0009022053373090355
0111,벼,4399,기타 제조업 제품,0.001309450365151757
0111,벼,4401,제조임가공서비스,0.001420422536236966
0111,벼,4402,산업용 기계 및 장비 수리,0.0005124051446156126
0111,벼,4501,수력,0.000647670984002111
0111,벼,4502,화력,0.0001955137334705963
0111,벼,4503,원자력,0.0004103719628708079
0111,벼,4504,자가발전,0.0003385254008134089
0111,벼,4505,신에너지,0.0004551009703918948
0111,벼,4506,재생에너지,0.0006079047764481799
0111,벼,4610,도시가스,0.0001445242870268404
0111,벼,4620,증기 및 온수 공급,0.0006412831808706381
0111,벼,4700,수도,0.0003920195631795529
0111,벼,4801,"하수,폐수 및 분뇨처리(국공립)",0.002194676274778184
0111,벼,4802,"하수,폐수 및 분뇨처리(산업)",0.001260570892251174
0111,벼,4911,"폐기물 수집, 운반 및 처리(국공립)",0.0008387385636935384
0111,벼,4912,"폐기물 수집, 운반 및 처리(산업)",0.0009020088945885988
0111,벼,4920,자원재활용서비스,0.0006171489361040509
0111,벼,5010,주거용 건물,0.0005210402327712824
0111,벼,5020,비주거용 건물,0.0004981292220717603
0111,벼,5030,건축보수,0.0006102243076734302
0111,벼,5111,도로시설,0.0005846235976091301
0111,벼,5112,철도시설,0.0005832932604612469
0111,벼,5113,항만시설,0.0007382251031244812
0111,벼,5121,하천사방,0.0007029300148053977
0111,벼,5122,상하수도시설,0.0005532065805835642
0111,벼,5123,농림수산토목,0.0005449932853856801
0111,벼,5124,도시토목,0.0005369212307967066
0111,벼,5131,환경정화시설,0.0006556743093804521
0111,벼,5132,발전소 시설,0.0004049292967248976
0111,벼,5133,산업플랜트,0.0004243949472084244
0111,벼,5190,기타 건설,0.0003760477528417455
0111,벼,5200,도소매 및 상품중개서비스,0.001571379253605355
0111,벼,5310,철도운송서비스,0.0003864089898243904
0111,벼,5321,도로여객운송서비스,0.0003709905971213555
0111,벼,5322,도로화물운송서비스,0.0006112619968106796
0111,벼,5401,연안 및 내륙수상운송서비스,0.001161039146034767
0111,벼,5402,외항운송서비스,0.0002522924922557803
0111,벼,5500,항공운송서비스,0.0003409763972457397
0111,벼,5611,육상운송보조서비스,0.000934530877642775
0111,벼,5612,수상운송보조서비스,0.0007913779655744609
0111,벼,5613,항공운송보조서비스,0.0006360341100918494
0111,벼,5620,하역서비스,0.001400223424331989
0111,벼,5630,보관 및 창고서비스,0.000829741932636522
0111,벼,5690,기타 운송 관련 서비스,0.001107991260016888
0111,벼,5710,공영우편서비스,0.0003363841608199283
0111,벼,5720,소화물전문운송서비스,0.0007150370749640379
0111,벼,5811,일반음식점,0.03434858219955568
0111,벼,5812,기타음식점,0.01833425387783352
0111,벼,5813,주점,0.004882576365104152
0111,벼,5814,비알콜음료점,0.003615489576635476
0111,벼,5820,숙박,0.003434108128640774
0111,벼,5911,유선통신서비스,0.0007358433363465005
0111,벼,5912,무선 및 위성 통신서비스,0.0007492450445631905
0111,벼,5991,통신 재판매 및 중개 서비스,0.0008880520724491248
0111,벼,5999,기타 전기통신서비스,0.0007848841672139199
0111,벼,6001,지상파 방송서비스,0.0006979407069013519
0111,벼,6002,"유선, 위성 및 기타방송서비스",0.001187354535565941
0111,벼,6100,정보제공서비스,0.0005900719520047182
0111,벼,6211,게임소프트웨어 출판,0.0005667819029334286
0111,벼,6212,소프트웨어 개발 공급,0.0004301000491347089
0111,벼,6290,기타 IT서비스,0.0006323337936503269
0111,벼,6300,신문 및 출판,0.00120516032991283
0111,벼,6401,영상·오디오물 제작 배급,0.0007231004787947907
0111,벼,6402,영화상영,0.0019806266070518
0111,벼,6510,중앙은행 및 예금취급기관,0.0004998051817532928
0111,벼,6591,금융투자기관,0.001084071586761051
0111,벼,6599,기타 금융중개기관,0.001149090593846047
0111,벼,6601,생명보험,0.001133439951063083
0111,벼,6602,연금기금,0.0007425326483863375
0111,벼,6603,비생명보험,0.001234772784492096
0111,벼,6700,금융 및 보험 보조서비스,0.0004174460980620448
0111,벼,6800,주거서비스,0.0001543594416660459
0111,벼,6911,비주거용 건물 임대,0.0003872690834854083
0111,벼,6912,부동산 개발 및 공급,0.0005377803716422461
0111,벼,6920,부동산 관련 서비스,0.0003631814542101661
0111,벼,7001,연구개발(국공립),0.0009661909136422121
0111,벼,7002,연구개발(비영리),0.0008010446568156638
0111,벼,7003,연구개발(산업),0.0005664053343487479
0111,벼,7004,기업내 연구개발,0.0007413786133937585
0111,벼,7111,법무 및 회계서비스,0.0005503930232345917
0111,벼,7112,시장조사 및 경영지원서비스,0.002263189712782397
0111,벼,7120,광고,0.0007740000210764233
0111,벼,7210,건축·토목 관련 서비스,0.001067336474442991
0111,벼,7291,공학 관련 서비스,0.001071422691731424
0111,벼,7292,과학기술서비스,0.0006928895404886217
0111,벼,7299,기타 전문서비스,0.0008876399300113626
0111,벼,7300,장비·용품 및 지식재산권 임대,0.0007112690396867506
0111,벼,7410,사업시설 유지관리 및 조경서비스,0.0005774163268648053
0111,벼,7420,인력공급 및 알선,0.001133861956735732
0111,벼,7490,기타 사업지원서비스,0.001362113731760022
0111,벼,7511,중앙정부,0.001756111371353963
0111,벼,7512,지방정부,0.0007436355023190091
