원본_업종명,정규화_업종명,KSIC_코드_4자리,KSIC_명칭,매칭_레벨,매칭_방식,매칭_스코어,KSIC_코드_5자리,5자리_모호성,KSIC_코드_11차,변경유형
노래연습장 운영업,노래연습장 운영업,9122,노래연습장 운영업,hwp_5digit,hwp_exact,1.0,91223,False,,
노인 거주 복지시설 운영업,노인 거주 복지시설 운영업,8711,노인 요양 복지시설 운영업,hwp_5digit,hwp_fuzzy,0.8571,87111,False,,
노인 양로 복지시설 운영업,노인 양로 복지시설 운영업,8711,노인 양로 복지시설 운영업,hwp_5digit,hwp_exact,1.0,87112,False,,
노인 요양 복지시설 운영업,노인 요양 복지시설 운영업,8711,노인 요양 복지시설 운영업,hwp_5digit,hwp_exact,1.0,87111,False,,
노점 및 유사이동 소매업,노점 및 유사이동 소매업,4792,노점 및 유사이동 소매업,hwp_5digit,hwp_exact,1.0,47920,False,,
녹음시설 운영업,녹음시설 운영업,5920,녹음시설 운영업,hwp_5digit,hwp_exact,1.0,59202,False,,
놀이터용 장비 제조업,놀이터용 장비 제조업,3330,놀이터용 장비 제조업,hwp_5digit,hwp_exact,1.0,33302,False,,
농림수산학 및 수의학 연구개발업,농림수산학 및 수의학 연구개발업,7011,농림수산학 및 수의학 연구개발업,hwp_5digit,hwp_exact,1.0,70112,False,,
농림업용 기계 및 장비 도매업,농림업용 기계 및 장비 도매업,4653,농림업용 기계 및 장비 도매업,hwp_5digit,hwp_exact,1.0,46531,False,,
"농산물 건조, 선별 및 기타 수확 후 서비스업",농산물 건조 선별 및 기타 수확 후 서비스업,0141,"농산물 건조, 선별 및 기타 수확 후 서비스업",hwp_5digit,hwp_exact,1.0,01412,False,,
농산물 창고업,농산물 창고업,5210,농산물 창고업,hwp_5digit,hwp_exact,1.0,52103,False,,
농업,농업,0111,곡물 재배업,manual,manual_override,1.0,01110,False,,
농업 및 임업용 기계 제조업,농업 및 임업용 기계 제조업,2861,농업 및 임업용 기계 제조업,basic,exact,1.0,,False,,
뉴스 제공업,뉴스 제공업,6391,뉴스 제공업,hwp_5digit,hwp_exact,1.0,63910,False,,
늘찬 배달업,늘찬 배달업,4940,늘찬 배달업,hwp_5digit,hwp_exact,1.0,49402,False,,
"다이오드, 트랜지스터 및 유사 반도체소자 제조업",다이오드 트랜지스터 및 유사 반도체소자 제조업,2612,"다이오드, 트랜지스터 및 유사반도체소자 제조업",basic,fuzzy,0.9796,23222201,True,,
단독 주택 건설업,단독 주택 건설업,4111,단독 주택 건설업,hwp_5digit,hwp_exact,1.0,41111,False,,
단미 사료 및 기타 사료 제조업,단미 사료 및 기타 사료 제조업,1080,단미 사료 및 기타 사료 제조업,hwp_5digit,hwp_exact,1.0,10802,False,,
단추 및 유사 파스너 제조업,단추 및 유사 파스너 제조업,3399,단추 및 유사 파스너 제조업,hwp_5digit,hwp_exact,1.0,33991,False,,
담배 도매업,담배 도매업,1000,담배,io_name,io_exact,1.0,12000100,True,,
담배 제조업,담배 제조업,1200,담배 제조업,basic,exact,1.0,,False,,
담배제품 제조업,담배제품 제조업,1200,담배 제조업,basic,fuzzy,0.8571,,False,,
대학교,대학교,8530,대학교,hwp_5digit,hwp_exact,1.0,85302,False,,
대형 마트,대형 마트,4711,대형 마트,hwp_5digit,hwp_exact,1.0,47112,False,,
대형 종합 소매업,대형 종합 소매업,4711,기타 대형 종합 소매업,hwp_5digit,hwp_fuzzy,0.8571,47119,False,,
데이터베이스 및 온라인정보 제공업,데이터베이스 및 온라인정보 제공업,6399,데이터베이스 및 온라인정보 제공업,hwp_5digit,hwp_exact,1.0,63991,False,,
"도금, 착색 및 기타 표면처리강재 제조업",도금 착색 및 기타 표면처리강재 제조업,2419,"도금, 착색 및 기타 표면처리강재 제조업",hwp_5digit,hwp_exact,1.0,24191,False,,
도금업,도금업,2592,도금업,hwp_5digit,hwp_exact,1.0,25922,False,,
도로 건설업,도로 건설업,4211,도로시설 건설업,basic,fuzzy,0.8571,,False,,
도로 및 관련시설 운영업,도로 및 관련시설 운영업,5291,도로 및 관련시설 운영업,hwp_5digit,hwp_exact,1.0,52914,False,,
도로 화물 운송업,도로 화물 운송업,4922,도로 화물 운송업,basic,exact,1.0,,False,,
도료 도매업,도료 도매업,2211,도료,io_name,io_exact,1.0,20411101,True,,
도매 및 상품 중개업,도매 및 상품 중개업,4610,농산물 중개업,manual,manual_override,1.0,46101,False,,
"도배, 실내장식 및 내장 목공사업",도배 실내장식 및 내장 목공사업,4241,"도배, 실내장식 및 내장 목공사업",hwp_5digit,hwp_exact,1.0,42412,False,,
도서관 및 기록보존소 운영업,도서관 및 기록보존소 운영업,9021,도서관 및 기록보존소 운영업,hwp_5digit,hwp_exact,1.0,90211,False,,
"도서관, 사적지 및 유사 여가관련 서비스업",도서관 사적지 및 유사 여가관련 서비스업,8900,"도서관, 사적지 및 기타 문화관련 서비스업",basic,fuzzy,0.8182,,False,,
도시 정기 육상 여객 운송업,도시 정기 육상 여객 운송업,4921,기타 도시 정기 육상 여객 운송업,hwp_5digit,hwp_fuzzy,0.9091,49219,False,,
도시계획 및 조경설계 서비스업,도시계획 및 조경설계 서비스업,7211,도시계획 및 조경설계 서비스업,hwp_5digit,hwp_exact,1.0,72112,False,,
도시락 및 식사용 조리식품 제조업,도시락 및 식사용 조리식품 제조업,1081,도시락 및 식사용 조리식품 제조업,basic,exact,1.0,,False,,
도시락류 제조업,도시락류 제조업,1075,도시락류 제조업,hwp_5digit,hwp_exact,1.0,10751,False,,
도시철도 운송업,도시철도 운송업,4910,철도 운송업,basic,fuzzy,0.8571,,False,,
도장 공사업,도장 공사업,4241,도장 공사업,hwp_5digit,hwp_exact,1.0,42411,False,,
도장 및 기타 피막처리업,도장 및 기타 피막처리업,2592,도장 및 기타 피막처리업,hwp_5digit,hwp_exact,1.0,25923,False,,
"도장, 도배 및 내장 공사업",도장 도배 및 내장 공사업,4241,도장 공사업,hwp_5digit,split_first,0.9091,42411,False,,
"도축, 육류 가공 및 저장 처리업",도축 육류 가공 및 저장 처리업,101,"도축, 육류 가공 및 저장 처리업",sub,exact,1.0,,False,,
도축업,도축업,1011,도축업,basic,exact,1.0,,False,,
독서실 운영업,독서실 운영업,9021,독서실 운영업,hwp_5digit,hwp_exact,1.0,90212,False,,
"동 압연, 압출 및 연신제품 제조업",동 압연 압출 및 연신제품 제조업,2461,"동 압연, 압출 및 연신제품 제조업",basic,exact,1.0,,False,,
"동 제련, 정련 및 합금 제조업",동 제련 정련 및 합금 제조업,2451,"동 제련, 정련 및 합금 제조업",basic,exact,1.0,,False,,
동·식물성 유지 및 낙농제품 제조업,동식물성 유지 및 낙농제품 제조업,1041,동물성 및 식물성 유지 제조업,basic,split_first,0.8148,,False,,
동력식 수지공구 제조업,동력식 수지공구 제조업,2919,동력식 수지공구 제조업,hwp_5digit,hwp_exact,1.0,29194,False,,
동물성 및 식물성 유지 제조업,동물성 및 식물성 유지 제조업,1041,동물성 및 식물성 유지 제조업,basic,exact,1.0,,False,,
동물성 유지 제조업,동물성 유지 제조업,1040,동물성 유지 제조업,hwp_5digit,hwp_exact,1.0,10401,False,,
동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,1090,동물용 사료 및 조제식품 제조업,basic,exact,1.0,,False,,
동물용 의약품 제조업,동물용 의약품 제조업,2123,동물용 의약품 제조업,hwp_5digit,hwp_exact,1.0,21230,False,,
두발 미용업,두발 미용업,9611,두발 미용업,hwp_5digit,hwp_exact,1.0,96112,False,,
두부 및 유사식품 제조업,두부 및 유사식품 제조업,1072,면류 및 유사 식품 제조업,basic,fuzzy,0.8148,,False,,
디스플레이 장치용 유리 제조업,디스플레이 장치용 유리 제조업,2312,디스플레이 장치용 유리 제조업,hwp_5digit,hwp_exact,1.0,23122,False,,
디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,2882,평판디스플레이 제조용 기계 제조업,basic,fuzzy,0.9412,,False,,
디지털 적층 성형기계 제조업,디지털 적층 성형기계 제조업,2922,디지털 적층 성형기계 제조업,hwp_5digit,hwp_exact,1.0,29222,False,,
"떡, 빵 및 과자류 제조업",떡 빵 및 과자류 제조업,1071,"떡, 빵 및 과자류 제조업",basic,exact,1.0,,False,,
떡류 제조업,떡류 제조업,111,주류 제조업,sub,fuzzy,0.8333,,False,,
라디오 방송업,라디오 방송업,6010,라디오 방송업,hwp_5digit,hwp_exact,1.0,60100,False,,
"라디오, 녹음 및 재생 기기 제조업",라디오 녹음 및 재생 기기 제조업,2652,"라디오, 녹음 및 재생 기기 제조업",hwp_5digit,hwp_exact,1.0,26521,False,,
"라이터, 연소물 및 흡연용품 제조업",라이터 연소물 및 흡연용품 제조업,3399,"라이터, 연소물 및 흡연용품 제조업",hwp_5digit,hwp_exact,1.0,33992,False,,
레미콘 제조업,레미콘 제조업,2631,레미콘,io_name,io_exact,1.0,23321100,True,,
"레이더, 항행용 무선기기 및 측량기구 제조업",레이더 항행용 무선기기 및 측량기구 제조업,2721,"레이더, 항행용 무선기기 및 측량기구 제조업",hwp_5digit,hwp_exact,1.0,27211,False,,
마그네틱 및 광학 매체 제조업,마그네틱 및 광학 매체 제조업,2660,마그네틱 및 광학 매체 제조업,hwp_5digit,hwp_exact,1.0,26600,False,,
마사지업,마사지업,9612,마사지업,hwp_5digit,hwp_exact,1.0,96122,False,,
만화 출판업,만화 출판업,5811,만화 출판업,hwp_5digit,hwp_exact,1.0,58112,False,,
말 및 양 사육업,말 및 양 사육업,0129,말 및 양 사육업,hwp_5digit,hwp_exact,1.0,01291,False,,
매니저업,매니저업,7390,매니저업,hwp_5digit,hwp_exact,1.0,73901,False,,
매트리스 및 침대 제조업,매트리스 및 침대 제조업,3201,매트리스 및 침대 제조업,hwp_5digit,hwp_exact,1.0,32011,False,,
맥아 및 맥주 제조업,맥아 및 맥주 제조업,1112,맥아 및 맥주 제조업,basic,exact,1.0,,False,,
메모리용 전자집적회로 제조업,메모리용 전자집적회로 제조업,2611,전자집적회로 제조업,basic,fuzzy,0.8,23221101,True,,
면 방적업,면 방적업,1310,면 방적업,hwp_5digit,hwp_exact,1.0,13101,False,,
"면류, 마카로니 및 유사식품 제조업",면류 마카로니 및 유사식품 제조업,1072,면류 및 유사 식품 제조업,basic,fuzzy,0.8125,,False,,
면세점,면세점,4713,면세점,hwp_5digit,hwp_exact,1.0,47130,False,,
면직물 직조업,면직물 직조업,1321,면직물 직조업,hwp_5digit,hwp_exact,1.0,13211,False,,
모 방적업,모 방적업,1310,모 방적업,hwp_5digit,hwp_exact,1.0,13102,False,,
모래 및 자갈 채취업,모래 및 자갈 채취업,0712,모래 및 자갈 채취업,hwp_5digit,hwp_exact,1.0,07122,False,,
모바일 게임 소프트웨어 개발 및 공급업,모바일 게임 소프트웨어 개발 및 공급업,5820,소프트웨어 개발 및 공급업,basic,fuzzy,0.8,55101,True,,
모자 제조업,모자 제조업,1449,모자 제조업,hwp_5digit,hwp_exact,1.0,14491,False,,
모조 귀금속 및 모조 장신용품 제조업,모조 귀금속 및 모조 장신용품 제조업,3304,귀금속 및 장신용품 제조업,basic,fuzzy,0.8235,,False,,
모직물 직조업,모직물 직조업,1321,모직물 직조업,hwp_5digit,hwp_exact,1.0,13212,False,,
모터사이클 및 부품 도매업,모터사이클 및 부품 도매업,4530,모터사이클 및 부품 도매업,hwp_5digit,hwp_exact,1.0,45301,False,,
모터사이클 및 부품 소매업,모터사이클 및 부품 소매업,4530,모터사이클 및 부품 소매업,hwp_5digit,hwp_exact,1.0,45302,False,,
모터사이클 및 부품 판매업,모터사이클 및 부품 판매업,4530,모터사이클 및 부품 소매업,hwp_5digit,hwp_fuzzy,0.9286,45302,False,,
모터사이클 제조업,모터사이클 제조업,4291,모터사이클,io_name,io_exact,1.0,31920100,True,,
모피 및 가죽 제조업,모피 및 가죽 제조업,1511,모피 및 가죽 제조업,hwp_5digit,hwp_exact,1.0,15110,False,,
모피제품 제조업,모피제품 제조업,2392,석제품 제조업,basic,fuzzy,0.8,22231100,True,,
목재 깔판류 및 기타 적재판 제조업,목재 깔판류 및 기타 적재판 제조업,1623,목재 깔판류 및 기타 적재판 제조업,hwp_5digit,hwp_exact,1.0,16231,False,,
